Date,Clicks,Impressions,CTR,Position
2025-12-11,0,5,0%,78
2025-12-12,0,1,0%,6
2025-12-13,1,10,10%,73
2025-12-14,0,3,0%,94
2025-12-15,1,4,25%,4.5
2025-12-16,0,5,0%,32.8
2025-12-17,0,4,0%,9
2025-12-18,0,2,0%,95.5
2025-12-19,0,4,0%,30.2
2025-12-20,0,7,0%,77.4
2025-12-21,0,2,0%,99
2025-12-22,0,0,,
2025-12-23,0,1,0%,88
2025-12-24,0,1,0%,10
2025-12-25,0,2,0%,52.5
2025-12-26,0,1,0%,9
2025-12-27,0,6,0%,71
2025-12-28,0,2,0%,96.5
2025-12-29,0,2,0%,15
2025-12-30,0,4,0%,43.8
2025-12-31,0,1,0%,6
2026-01-01,0,2,0%,58
2026-01-02,0,2,0%,7.5
2026-01-03,0,5,0%,44.6
2026-01-04,0,2,0%,96
2026-01-05,0,0,,
2026-01-06,0,0,,
2026-01-07,0,4,0%,71.2
2026-01-08,0,4,0%,69.5
2026-01-09,0,0,,
2026-01-10,0,6,0%,74.5
2026-01-11,0,4,0%,40.5
2026-01-12,0,6,0%,28.2
2026-01-13,0,3,0%,51.3
2026-01-14,0,5,0%,7.8
2026-01-15,0,5,0%,53.4
2026-01-16,0,1,0%,6
2026-01-17,1,15,6.67%,71.3
2026-01-18,0,50,0%,79.9
2026-01-19,0,74,0%,78.7
2026-01-20,0,89,0%,77.2
